REGION,YEAR,avMort,Var,SE,CV_perc,n_sites,n_strat,ngrtot,MORT_TYPE
FLK,1999,19.103722302745506,1.3186319206913093,1.1483169948630514,6.010959417568691,160,8,42150,Old
FLK,2000,18.739532206956977,3.166805903091428,1.7795521636331506,9.496246458983105,68,11,58546,Old
FLK,2001,17.93188415868014,2.2082639737657708,1.4860228712122068,8.287042555385234,120,10,58538,Old
FLK,2002,11.393981420118521,3.259744269264949,1.8054761890606448,15.845876191027386,38,7,53147,Old
FLK,2005,12.428366795418986,0.3177546682245158,0.5636973196889584,4.535570352628581,258,12,67765,Old
FLK,2006,14.050769996061684,0.5544989750934471,0.7446468794626397,5.2996873457565545,118,11,58695,Old
FLK,2007,11.95765530912091,1.3271640670987865,1.1520260704944079,9.634213737668789,88,12,59026,Old
FLK,2008,8.613293612010274,0.4320475903433846,0.6573032712100135,7.631265121317561,135,11,58885,Old
FLK,2009,11.139303387111418,0.3048087753271683,0.5520948970305453,4.95627848388921,314,12,59026,Old
FLK,2010,10.343395610640659,0.9769421310625297,0.9884038299513664,9.555893124058375,185,13,67906,Old
FLK,2011,9.010284401571752,0.2986221777351219,0.5464633361307252,6.0648844340074355,177,11,58546,Old
FLK,2012,11.646056210071295,0.4579940556751818,0.6767525808411682,5.811002185065233,150,12,59026,Old
FLK,2013,12.141773591030798,1.0203812001076642,1.0101391983819181,8.319535781231451,76,11,57937,Old
SEFCRI,2005,14.3909233844916,2.2526655740171564,1.5008882616694543,10.429409021014516,30,7,14166,Old
SEFCRI,2006,10.721961385313794,2.656247375115585,1.6297997960226847,15.20057513222415,45,8,15199,Old
SEFCRI,2007,10.204030667937475,1.8402251961044291,1.3565490024707656,13.294246622888311,34,8,15199,Old
SEFCRI,2008,15.904192903552286,1.6359127214624691,1.279028037793726,8.042080761659074,63,8,15199,Old
SEFCRI,2009,12.981103531737649,1.366992659382253,1.1691846130454562,9.006819876190828,65,8,15199,Old
SEFCRI,2010,12.602886502874572,1.057415304021182,1.0283070086414767,8.159297541931618,82,8,15199,Old
SEFCRI,2011,17.162894638329334,0.8591585045566557,0.9269080345733636,5.400650963056838,43,9,22817,Old
SEFCRI,2012,10.097347639718427,0.36279336799817363,0.6023233085297078,5.965163625350867,41,8,21951,Old
SEFCRI,2013,12.011007220627272,10.616922310536356,3.258361906009883,27.128132105474794,12,6,13488,Old
Tortugas,1999,17.857936099235335,3.361313558293608,1.8333885453699137,10.266519799275226,20,9,19623,Old
Tortugas,2000,16.503007367523516,2.7112713121546825,1.6465938516084295,9.977538123437931,30,13,29474,Old
Tortugas,2002,8.738225864278276,1.11042896886598,1.0537689352348456,12.05930072765269,22,10,24751,Old
Tortugas,2006,16.632012363989876,1.1104593046883822,1.0537833290996694,6.335873892092731,82,11,24004,Old
Tortugas,2007,13.74380691221616,1.7880759484006405,1.337189570853976,9.729397243389801,13,6,15624,Old
Tortugas,2009,9.215492598333233,0.8116253912924714,0.9009025426162762,9.775956445119588,35,8,17678,Old
Tortugas,2011,9.324772779272662,3.5379270872156225,1.880937821198676,20.171406485953973,5,3,12717,Old
Tortugas,2012,13.796239943347144,3.2324496333074744,1.7979014526128718,13.031822148612745,41,8,17678,Old
