"REGION","YEAR","ANALYSIS_STRATUM","dis_sites","ble_sites","total_sites"
"SEFCRI",2014,"MIDR0 / PROT = 0",4,27,30
"SEFCRI",2014,"MIDR1 / PROT = 0",1,17,19
"SEFCRI",2016,"DPRC0 / PROT = 0",5,9,16
"SEFCRI",2016,"DPRC1 / PROT = 0",5,4,6
"SEFCRI",2016,"INNR0 / PROT = 0",4,5,7
"SEFCRI",2016,"INNR1 / PROT = 0",3,4,5
"SEFCRI",2016,"MIDR0 / PROT = 0",5,6,8
"SEFCRI",2016,"MIDR1 / PROT = 0",1,2,5
"SEFCRI",2016,"NEAR0 / PROT = 0",5,11,18
"SEFCRI",2016,"NEAR1 / PROT = 0",1,2,2
"SEFCRI",2016,"OFFR0 / PROT = 0",2,2,4
"SEFCRI",2016,"OFFR1 / PROT = 0",15,13,22
"SEFCRI",2018,"DPRC0 / PROT = 0",0,7,11
"SEFCRI",2018,"DPRC1 / PROT = 0",1,4,7
"SEFCRI",2018,"INNR0 / PROT = 0",1,4,4
"SEFCRI",2018,"INNR1 / PROT = 0",1,5,5
"SEFCRI",2018,"MIDR0 / PROT = 0",0,4,4
"SEFCRI",2018,"MIDR1 / PROT = 0",1,3,4
"SEFCRI",2018,"NEAR0 / PROT = 0",2,2,3
"SEFCRI",2018,"NEAR1 / PROT = 0",1,5,7
"SEFCRI",2018,"OFFR0 / PROT = 0",0,4,4
"SEFCRI",2018,"OFFR1 / PROT = 0",4,13,21
"SEFCRI",2020,"DPRC0 / PROT = 0",0,2,5
"SEFCRI",2020,"INNR0 / PROT = 0",0,5,7
"SEFCRI",2020,"INNR1 / PROT = 0",1,4,5
"SEFCRI",2020,"MIDR0 / PROT = 0",0,4,6
"SEFCRI",2020,"MIDR1 / PROT = 0",0,7,7
"SEFCRI",2020,"NEAR0 / PROT = 0",1,14,24
"SEFCRI",2020,"NEAR1 / PROT = 0",0,2,4
"SEFCRI",2020,"OFFR0 / PROT = 0",0,3,4
"SEFCRI",2020,"OFFR1 / PROT = 0",2,9,15
"SEFCRI",2020,"PTDP0 / PROT = 0",0,1,1
"SEFCRI",2020,"PTDP1 / PROT = 0",0,4,6
"SEFCRI",2020,"PTSH2 / PROT = 0",1,1,6
"SEFCRI",2022,"DPRC0 / PROT = 0",0,1,7
"SEFCRI",2022,"INNR0 / PROT = 0",0,1,3
"SEFCRI",2022,"INNR1 / PROT = 0",2,8,13
"SEFCRI",2022,"MIDR0 / PROT = 0",0,2,5
"SEFCRI",2022,"MIDR1 / PROT = 0",0,5,10
"SEFCRI",2022,"NEAR0 / PROT = 0",1,8,20
"SEFCRI",2022,"NEAR1 / PROT = 0",0,0,1
"SEFCRI",2022,"OFFR0 / PROT = 0",0,2,4
"SEFCRI",2022,"OFFR1 / PROT = 0",1,5,23
"SEFCRI",2022,"PTDP0 / PROT = 0",0,0,2
"SEFCRI",2022,"PTDP1 / PROT = 0",0,2,9
"SEFCRI",2022,"PTSH2 / PROT = 0",0,2,3
