REGION,YEAR,ANALYSIS_STRATUM,STRAT,PROT,NTOT,ngrtot,wh,n_sites,avBprev,svarB,stdB
SEFCRI,2014,MIDR0 / PROT = 0,MIDR0,0,1294,2160,0.5990740740740741,30,20.403333333333332,392.36309195402293,19.80815720742399
SEFCRI,2014,MIDR1 / PROT = 0,MIDR1,0,866,2160,0.4009259259259259,19,12.005263157894737,92.66719298245613,9.626380055994888
SEFCRI,2016,DPRC0 / PROT = 0,DPRC0,0,7618,25343,0.30059582527719686,16,37.11875,1795.9989583333333,42.37922791101005
SEFCRI,2016,DPRC1 / PROT = 0,DPRC1,0,1045,25343,0.041234265872232966,6,23.48333333333333,1031.4936666666665,32.11687510743638
SEFCRI,2016,INNR0 / PROT = 0,INNR0,0,845,25343,0.03334254034644675,7,46.67142857142857,1855.222380952381,43.07229249706104
SEFCRI,2016,INNR1 / PROT = 0,INNR1,0,1092,25343,0.04308882137079272,5,27.04,304.273,17.44342282925
SEFCRI,2016,MIDR0 / PROT = 0,MIDR0,0,1294,25343,0.0510594641518368,8,31.7,1031.037142857143,32.109767094408255
SEFCRI,2016,MIDR1 / PROT = 0,MIDR1,0,866,25343,0.034171171526654304,5,9.16,211.403,14.539704261091419
SEFCRI,2016,NEAR0 / PROT = 0,NEAR0,0,6272,25343,0.24748451248865563,18,38.977777777777774,1764.4688888888886,42.0055816396927
SEFCRI,2016,NEAR1 / PROT = 0,NEAR1,0,1122,25343,0.044272580199660655,2,21.75,21.125,4.596194077712559
SEFCRI,2016,OFFR0 / PROT = 0,OFFR0,0,1238,25343,0.048849781004616656,4,50,3333.3333333333335,57.735026918962575
SEFCRI,2016,OFFR1 / PROT = 0,OFFR1,0,3951,25343,0.15590103776190664,22,14.927272727272728,380.38588744588736,19.503483982250128
SEFCRI,2018,DPRC0 / PROT = 0,DPRC0,0,7618,25343,0.30059582527719686,11,34.54545454545455,1132.2727272727273,33.64926042683148
SEFCRI,2018,DPRC1 / PROT = 0,DPRC1,0,1045,25343,0.041234265872232966,7,15.17142857142857,439.66904761904766,20.968286711580603
SEFCRI,2018,INNR0 / PROT = 0,INNR0,0,845,25343,0.03334254034644675,4,21.599999999999998,186.12666666666664,13.642824731948537
SEFCRI,2018,INNR1 / PROT = 0,INNR1,0,1092,25343,0.04308882137079272,5,29.38,279.577,16.720556210844183
SEFCRI,2018,MIDR0 / PROT = 0,MIDR0,0,1294,25343,0.0510594641518368,4,20.175,88.41583333333335,9.402969389152203
SEFCRI,2018,MIDR1 / PROT = 0,MIDR1,0,866,25343,0.034171171526654304,4,23,546.1866666666667,23.37063684769131
SEFCRI,2018,NEAR0 / PROT = 0,NEAR0,0,6272,25343,0.24748451248865563,3,32.3,1011.99,31.81179026713209
SEFCRI,2018,NEAR1 / PROT = 0,NEAR1,0,1122,25343,0.044272580199660655,7,22.442857142857143,471.05285714285714,21.70375214433802
SEFCRI,2018,OFFR0 / PROT = 0,OFFR0,0,1238,25343,0.048849781004616656,4,21.85,366.95,19.155939026839693
SEFCRI,2018,OFFR1 / PROT = 0,OFFR1,0,3951,25343,0.15590103776190664,21,19.547619047619047,686.7136190476189,26.205221217299787
SEFCRI,2020,DPRC0 / PROT = 0,DPRC0,0,30238,89155,0.3391621333632438,5,16.66,555.278,23.564337461511624
SEFCRI,2020,INNR0 / PROT = 0,INNR0,0,4085,89155,0.04581907913184903,7,20.257142857142856,310.27619047619044,17.61465839794205
SEFCRI,2020,INNR1 / PROT = 0,INNR1,0,2332,89155,0.026156693399136337,5,23.36,412.58299999999997,20.31213922756537
SEFCRI,2020,MIDR0 / PROT = 0,MIDR0,0,4677,89155,0.0524592002691941,6,22.4,578.0759999999999,24.0432111000174
SEFCRI,2020,MIDR1 / PROT = 0,MIDR1,0,1764,89155,0.0197857663619539,7,28.97142857142857,319.01238095238097,17.860917696254607
SEFCRI,2020,NEAR0 / PROT = 0,NEAR0,0,24765,89155,0.2777746621053222,24,20.970833333333335,518.8491123188408,22.778259642010422
SEFCRI,2020,NEAR1 / PROT = 0,NEAR1,0,1583,89155,0.017755594189894006,4,18.625,660.8958333333334,25.707894377667987
SEFCRI,2020,OFFR0 / PROT = 0,OFFR0,0,4884,89155,0.05478099938309686,4,22.775,466.4691666666666,21.597897274194693
SEFCRI,2020,OFFR1 / PROT = 0,OFFR1,0,8262,89155,0.09267006898098816,15,20.35333333333333,612.4083809523809,24.74688628802381
SEFCRI,2020,PTDP0 / PROT = 0,PTDP0,0,1607,89155,0.018024788290056642,1,42.9,NA,NA
SEFCRI,2020,PTDP1 / PROT = 0,PTDP1,0,2528,89155,0.02835511188379788,6,23.78333333333333,396.3216666666667,19.907829280628935
SEFCRI,2020,PTSH2 / PROT = 0,PTSH2,0,709,89155,0.007952442375637934,6,16.666666666666668,1666.6666666666665,40.8248290463863
SEFCRI,2022,DPRC0 / PROT = 0,DPRC0,0,30238,89155,0.3391621333632438,7,7.142857142857142,357.14285714285717,18.89822365046136
SEFCRI,2022,INNR0 / PROT = 0,INNR0,0,4085,89155,0.04581907913184903,3,11.099999999999998,369.62999999999994,19.225763964014536
SEFCRI,2022,INNR1 / PROT = 0,INNR1,0,2332,89155,0.026156693399136337,13,9.730769230769232,167.4923076923077,12.941881922359967
SEFCRI,2022,MIDR0 / PROT = 0,MIDR0,0,4677,89155,0.0524592002691941,5,11.16,237.72800000000004,15.41843052972643
SEFCRI,2022,MIDR1 / PROT = 0,MIDR1,0,1764,89155,0.0197857663619539,10,25.06,1109.7359999999999,33.312700280823826
SEFCRI,2022,NEAR0 / PROT = 0,NEAR0,0,24765,89155,0.2777746621053222,20,20.135000000000005,914.8444999999998,30.246396479580834
SEFCRI,2022,NEAR1 / PROT = 0,NEAR1,0,1583,89155,0.017755594189894006,1,0,NA,NA
SEFCRI,2022,OFFR0 / PROT = 0,OFFR0,0,4884,89155,0.05478099938309686,4,22.5,691.6666666666666,26.299556396765833
SEFCRI,2022,OFFR1 / PROT = 0,OFFR1,0,8262,89155,0.09267006898098816,23,6.908695652173913,243.62537549407125,15.608503307302442
SEFCRI,2022,PTDP0 / PROT = 0,PTDP0,0,1607,89155,0.018024788290056642,2,0,1e-8,1e-4
SEFCRI,2022,PTDP1 / PROT = 0,PTDP1,0,2528,89155,0.02835511188379788,9,2.311111111111111,22.133611111111115,4.704637192293484
SEFCRI,2022,PTSH2 / PROT = 0,PTSH2,0,709,89155,0.007952442375637934,3,34.43333333333333,3226.963333333333,56.806367014035786
SEFCRI,2020,DPRC1 / PROT = 0,DPRC1,0,1721,89155,0.019303460265829173,0,NA,NA,NA
SEFCRI,2022,DPRC1 / PROT = 0,DPRC1,0,1721,89155,0.019303460265829173,0,NA,NA,NA
