REGION,YEAR,ANALYSIS_STRATUM,dis_sites,ble_sites,total_sites
SEFCRI,2014,INNR0 / PROT = 0,0,4,4
SEFCRI,2014,INNR1 / PROT = 0,1,4,4
SEFCRI,2014,MIDR0 / PROT = 0,4,31,35
SEFCRI,2014,MIDR1 / PROT = 0,1,20,22
SEFCRI,2014,NEAR0 / PROT = 0,3,11,14
SEFCRI,2014,NEAR1 / PROT = 0,1,4,4
SEFCRI,2014,OFFR0 / PROT = 0,0,2,2
SEFCRI,2014,OFFR1 / PROT = 0,0,4,5
SEFCRI,2015,INNR0 / PROT = 0,4,12,12
SEFCRI,2015,INNR1 / PROT = 0,2,7,7
SEFCRI,2015,MIDR0 / PROT = 0,4,11,12
SEFCRI,2015,MIDR1 / PROT = 0,2,9,9
SEFCRI,2015,NEAR0 / PROT = 0,8,27,36
SEFCRI,2015,NEAR1 / PROT = 0,3,7,10
SEFCRI,2015,OFFR0 / PROT = 0,2,4,5
SEFCRI,2015,OFFR1 / PROT = 0,4,7,9
SEFCRI,2016,DPRC0 / PROT = 0,5,9,16
SEFCRI,2016,DPRC1 / PROT = 0,5,4,6
SEFCRI,2016,INNR0 / PROT = 0,6,7,11
SEFCRI,2016,INNR1 / PROT = 0,5,8,10
SEFCRI,2016,MIDR0 / PROT = 0,5,8,12
SEFCRI,2016,MIDR1 / PROT = 0,2,5,8
SEFCRI,2016,NEAR0 / PROT = 0,9,21,33
SEFCRI,2016,NEAR1 / PROT = 0,3,5,7
SEFCRI,2016,OFFR0 / PROT = 0,4,5,8
SEFCRI,2016,OFFR1 / PROT = 0,17,18,30
SEFCRI,2017,INNR0 / PROT = 0,0,0,1
SEFCRI,2017,INNR1 / PROT = 0,0,2,3
SEFCRI,2017,MIDR0 / PROT = 0,0,3,6
SEFCRI,2017,NEAR0 / PROT = 0,0,8,8
SEFCRI,2017,OFFR0 / PROT = 0,0,2,2
SEFCRI,2017,OFFR1 / PROT = 0,0,2,3
SEFCRI,2018,DPRC0 / PROT = 0,0,7,11
SEFCRI,2018,DPRC1 / PROT = 0,1,4,7
SEFCRI,2018,INNR0 / PROT = 0,2,5,5
SEFCRI,2018,INNR1 / PROT = 0,4,12,12
SEFCRI,2018,MIDR0 / PROT = 0,1,12,12
SEFCRI,2018,MIDR1 / PROT = 0,3,8,9
SEFCRI,2018,NEAR0 / PROT = 0,5,23,25
SEFCRI,2018,NEAR1 / PROT = 0,3,11,13
SEFCRI,2018,OFFR0 / PROT = 0,0,4,4
SEFCRI,2018,OFFR1 / PROT = 0,4,13,21
SEFCRI,2019,INNR0 / PROT = 0,6,9,10
SEFCRI,2019,INNR1 / PROT = 0,5,10,10
SEFCRI,2019,MIDR0 / PROT = 0,4,8,8
SEFCRI,2019,MIDR1 / PROT = 0,1,1,2
SEFCRI,2019,NEAR0 / PROT = 0,10,27,36
SEFCRI,2019,NEAR1 / PROT = 0,1,2,3
SEFCRI,2019,OFFR0 / PROT = 0,1,4,6
SEFCRI,2019,OFFR1 / PROT = 0,2,4,6
SEFCRI,2020,DPRC0 / PROT = 0,2,4,7
SEFCRI,2020,DPRC1 / PROT = 0,1,1,1
SEFCRI,2020,INNR0 / PROT = 0,3,17,20
SEFCRI,2020,INNR1 / PROT = 0,4,10,12
SEFCRI,2020,MIDR0 / PROT = 0,3,15,17
SEFCRI,2020,MIDR1 / PROT = 0,3,12,13
SEFCRI,2020,NEAR0 / PROT = 0,8,49,70
SEFCRI,2020,NEAR1 / PROT = 0,0,8,10
SEFCRI,2020,OFFR0 / PROT = 0,3,11,13
SEFCRI,2020,OFFR1 / PROT = 0,8,20,28
SEFCRI,2020,PTDP0 / PROT = 0,0,1,1
SEFCRI,2020,PTDP1 / PROT = 0,0,4,6
SEFCRI,2020,PTSH2 / PROT = 0,1,1,6
SEFCRI,2021,DPRC0 / PROT = 0,0,2,2
SEFCRI,2021,INNR0 / PROT = 0,6,16,16
SEFCRI,2021,INNR1 / PROT = 0,2,6,7
SEFCRI,2021,MIDR0 / PROT = 0,2,11,13
SEFCRI,2021,MIDR1 / PROT = 0,0,1,1
SEFCRI,2021,NEAR0 / PROT = 0,8,27,34
SEFCRI,2021,NEAR1 / PROT = 0,0,5,6
SEFCRI,2021,OFFR0 / PROT = 0,1,7,7
SEFCRI,2021,OFFR1 / PROT = 0,1,17,19
SEFCRI,2022,DPRC0 / PROT = 0,1,6,12
SEFCRI,2022,DPRC1 / PROT = 0,1,1,1
SEFCRI,2022,INNR0 / PROT = 0,3,14,17
SEFCRI,2022,INNR1 / PROT = 0,5,18,23
SEFCRI,2022,MIDR0 / PROT = 0,2,18,23
SEFCRI,2022,MIDR1 / PROT = 0,2,13,19
SEFCRI,2022,NEAR0 / PROT = 0,13,55,74
SEFCRI,2022,NEAR1 / PROT = 0,2,6,7
SEFCRI,2022,OFFR0 / PROT = 0,2,13,15
SEFCRI,2022,OFFR1 / PROT = 0,3,28,46
SEFCRI,2022,PTDP0 / PROT = 0,0,0,2
SEFCRI,2022,PTDP1 / PROT = 0,0,2,9
SEFCRI,2022,PTSH2 / PROT = 0,1,8,10
