REGION,YEAR,ANALYSIS_STRATUM,STRAT,RUG_CD,PROT,NTOT,n,avspr,Var,SE
SEFCRI,2014,MIDR0 / PROT = 0,MIDR0,NA,NA,1294,30,4.3,0.1336781609195402,0.3656202413974645
SEFCRI,2014,MIDR1 / PROT = 0,MIDR1,NA,NA,866,19,5.842105263157895,0.08048630347799322,0.28370108120695137
SEFCRI,2016,DPRC0 / PROT = 0,DPRC0,NA,NA,7618,18,1.9444444444444444,0.0684458968772694,0.26162166744608406
SEFCRI,2016,DPRC1 / PROT = 0,DPRC1,NA,NA,1045,6,3.1666666666666665,0.7611111111111111,0.8724168218868267
SEFCRI,2016,INNR0 / PROT = 0,INNR0,NA,NA,845,7,2.857142857142857,0.35374149659863946,0.5947617141331808
SEFCRI,2016,INNR1 / PROT = 0,INNR1,NA,NA,1092,5,4.6,0.15999999999999998,0.39999999999999997
SEFCRI,2016,MIDR0 / PROT = 0,MIDR0,NA,NA,1294,8,4.875,0.265625,0.5153882032022076
SEFCRI,2016,MIDR1 / PROT = 0,MIDR1,NA,NA,866,5,3.2,0.64,0.8
SEFCRI,2016,NEAR0 / PROT = 0,NEAR0,NA,NA,6272,18,2.2777777777777777,0.04448075526506898,0.2109046117681379
SEFCRI,2016,NEAR1 / PROT = 0,NEAR1,NA,NA,1122,2,4,1,1
SEFCRI,2016,OFFR0 / PROT = 0,OFFR0,NA,NA,1238,4,3.25,2.5625,1.6007810593582121
SEFCRI,2016,OFFR1 / PROT = 0,OFFR1,NA,NA,3951,23,4.260869565217392,0.15500945179584125,0.3937123973103225
SEFCRI,2018,DPRC0 / PROT = 0,DPRC0,NA,NA,7618,13,2.3076923076923075,0.1844181459566074,0.4294393390883134
SEFCRI,2018,DPRC1 / PROT = 0,DPRC1,NA,NA,1045,7,3.4285714285714284,0.7551020408163264,0.8689660757568884
SEFCRI,2018,INNR0 / PROT = 0,INNR0,NA,NA,845,4,4.75,0.3958333333333333,0.6291528696058958
SEFCRI,2018,INNR1 / PROT = 0,INNR1,NA,NA,1092,5,4.8,0.13999999999999999,0.3741657386773941
SEFCRI,2018,MIDR0 / PROT = 0,MIDR0,NA,NA,1294,4,4.5,0.75,0.8660254037844386
SEFCRI,2018,MIDR1 / PROT = 0,MIDR1,NA,NA,866,4,5.5,0.4166666666666667,0.6454972243679028
SEFCRI,2018,NEAR0 / PROT = 0,NEAR0,NA,NA,6272,3,4,0.3333333333333333,0.5773502691896257
SEFCRI,2018,NEAR1 / PROT = 0,NEAR1,NA,NA,1122,7,4.285714285714286,0.5102040816326531,0.7142857142857143
SEFCRI,2018,OFFR0 / PROT = 0,OFFR0,NA,NA,1238,4,5,0.5,0.7071067811865476
SEFCRI,2018,OFFR1 / PROT = 0,OFFR1,NA,NA,3951,21,4.428571428571429,0.10748299319727891,0.32784599005825726
SEFCRI,2020,DPRC0 / PROT = 0,DPRC0,NA,NA,30238,5,2.2,0.24,0.4898979485566356
SEFCRI,2020,INNR0 / PROT = 0,INNR0,NA,NA,4085,7,5.428571428571429,0.27891156462585037,0.5281207860194961
SEFCRI,2020,INNR1 / PROT = 0,INNR1,NA,NA,2332,5,6,0.2,0.44721359549995793
SEFCRI,2020,MIDR0 / PROT = 0,MIDR0,NA,NA,4677,6,4.666666666666667,0.6444444444444445,0.8027729719194864
SEFCRI,2020,MIDR1 / PROT = 0,MIDR1,NA,NA,1764,7,5.714285714285714,0.3673469387755102,0.6060915267313265
SEFCRI,2020,NEAR0 / PROT = 0,NEAR0,NA,NA,24765,24,3.5,0.11231884057971014,0.3351400312999182
SEFCRI,2020,NEAR1 / PROT = 0,NEAR1,NA,NA,1583,5,2,0.4,0.6324555320336759
SEFCRI,2020,OFFR0 / PROT = 0,OFFR0,NA,NA,4884,4,6,0.8333333333333334,0.9128709291752769
SEFCRI,2020,OFFR1 / PROT = 0,OFFR1,NA,NA,8262,15,5.133333333333334,0.21777777777777776,0.4666666666666667
SEFCRI,2020,PTDP0 / PROT = 0,PTDP0,NA,NA,1607,1,2,NA,NA
SEFCRI,2020,PTDP1 / PROT = 0,PTDP1,NA,NA,2528,6,4.833333333333333,0.9611111111111112,0.9803627446568496
SEFCRI,2020,PTSH2 / PROT = 0,PTSH2,NA,NA,709,6,2.5,0.85,0.9219544457292888
SEFCRI,2022,DPRC0 / PROT = 0,DPRC0,NA,NA,30238,8,1.625,0.06919642857142858,0.26305214040457564
SEFCRI,2022,INNR0 / PROT = 0,INNR0,NA,NA,4085,3,5,0.3333333333333333,0.5773502691896257
SEFCRI,2022,INNR1 / PROT = 0,INNR1,NA,NA,2332,13,6.923076923076923,0.42899408284023666,0.654976398689477
SEFCRI,2022,MIDR0 / PROT = 0,MIDR0,NA,NA,4677,5,5.6,1.06,1.0295630140987
SEFCRI,2022,MIDR1 / PROT = 0,MIDR1,NA,NA,1764,10,4.6,0.2711111111111111,0.5206833117271102
SEFCRI,2022,NEAR0 / PROT = 0,NEAR0,NA,NA,24765,21,3.7142857142857144,0.1578231292517007,0.3972695926593183
SEFCRI,2022,NEAR1 / PROT = 0,NEAR1,NA,NA,1583,1,6,NA,NA
SEFCRI,2022,OFFR0 / PROT = 0,OFFR0,NA,NA,4884,4,2.5,0.4166666666666667,0.6454972243679028
SEFCRI,2022,OFFR1 / PROT = 0,OFFR1,NA,NA,8262,23,4.304347826086956,0.08076989173397488,0.28420044288138413
SEFCRI,2022,PTDP0 / PROT = 0,PTDP0,NA,NA,1607,2,1.5,0.25,0.5
SEFCRI,2022,PTDP1 / PROT = 0,PTDP1,NA,NA,2528,9,4.333333333333333,0.19444444444444442,0.4409585518440984
SEFCRI,2022,PTSH2 / PROT = 0,PTSH2,NA,NA,709,3,2.3333333333333335,0.7777777777777778,0.8819171036881969
SEFCRI,2020,DPRC1 / PROT = 0,DPRC1,NA,NA,1721,0,NA,NA,NA
SEFCRI,2022,DPRC1 / PROT = 0,DPRC1,NA,NA,1721,0,NA,NA,NA
